Symbol,Date,Open,High,Low,Close,Adj Close,Volume
SOUN,"Dec 6, 2024",14.18,15.1,13.18,15.01,15.01,218157300.0
SOUN,"Dec 5, 2024",10.53,13.74,10.32,13.33,13.33,195550900.0
SOUN,"Dec 4, 2024",9.21,10.19,8.94,10.15,10.15,85910100.0
SOUN,"Dec 3, 2024",8.8,9.14,8.55,8.88,8.88,36700400.0
SOUN,"Dec 2, 2024",9.2,9.54,8.79,8.95,8.95,51214800.0
SOUN,"Nov 29, 2024",8.02,9.53,7.91,9.31,9.31,71312700.0
SOUN,"Nov 27, 2024",7.54,7.89,7.3,7.88,7.88,32646800.0
SOUN,"Nov 26, 2024",7.9,8.37,7.55,7.61,7.61,40536700.0
SOUN,"Nov 25, 2024",8.8,8.87,7.87,8.03,8.03,66801200.0
SOUN,"Nov 22, 2024",7.35,8.49,7.18,8.25,8.25,107908300.0
SOUN,"Nov 21, 2024",6.59,7.28,6.38,6.98,6.98,71597500.0
SOUN,"Nov 20, 2024",6.65,6.74,6.3,6.44,6.44,25656400.0
SOUN,"Nov 19, 2024",6.07,6.72,6.04,6.51,6.51,40965800.0
SOUN,"Nov 18, 2024",6.34,6.55,5.97,6.19,6.19,33989800.0
SOUN,"Nov 15, 2024",6.76,6.77,6.22,6.36,6.36,35326000.0
SOUN,"Nov 14, 2024",6.56,7.16,6.32,6.63,6.63,73487100.0
SOUN,"Nov 13, 2024",6.6,6.75,6.06,6.27,6.27,73176400.0
SOUN,"Nov 12, 2024",7.69,7.84,7.31,7.56,7.56,64318400.0
SOUN,"Nov 11, 2024",7.53,7.8,6.79,7.77,7.77,69088100.0
SOUN,"Nov 8, 2024",6.71,7.26,6.38,7.2,7.2,53279600.0
SOUN,"Nov 7, 2024",5.91,7.08,5.86,6.95,6.95,71877000.0
SOUN,"Nov 6, 2024",5.64,5.73,5.41,5.69,5.69,23398100.0
SOUN,"Nov 5, 2024",5.17,5.45,5.16,5.37,5.37,16143100.0
SOUN,"Nov 4, 2024",5.13,5.18,4.97,5.09,5.09,11992400.0
SOUN,"Nov 1, 2024",5.25,5.31,5.09,5.14,5.14,14381100.0
SOUN,"Oct 31, 2024",5.41,5.46,5.03,5.03,5.03,27131100.0
SOUN,"Oct 30, 2024",5.95,5.97,5.44,5.45,5.45,25565800.0
SOUN,"Oct 29, 2024",6.01,6.25,5.86,6.01,6.01,34996500.0
SOUN,"Oct 28, 2024",5.26,6.12,5.24,6.12,6.12,49686700.0
SOUN,"Oct 25, 2024",5.28,5.4,5.14,5.18,5.18,13117200.0
SOUN,"Oct 24, 2024",5.06,5.34,4.97,5.28,5.28,17576500.0
SOUN,"Oct 23, 2024",5.2,5.24,4.86,4.98,4.98,21937600.0
SOUN,"Oct 22, 2024",5.36,5.39,5.24,5.27,5.27,11155400.0
SOUN,"Oct 21, 2024",5.56,5.77,5.13,5.39,5.39,34530000.0
SOUN,"Oct 18, 2024",5.26,5.54,5.24,5.5,5.5,25680200.0
SOUN,"Oct 17, 2024",5.33,5.63,5.18,5.23,5.23,22108700.0
SOUN,"Oct 16, 2024",5.44,5.45,5.11,5.25,5.25,18736700.0
SOUN,"Oct 15, 2024",5.28,5.61,5.19,5.31,5.31,33635300.0
SOUN,"Oct 14, 2024",5.01,5.42,4.95,5.19,5.19,38455300.0
SOUN,"Oct 11, 2024",4.84,4.91,4.74,4.91,4.91,12658300.0
SOUN,"Oct 10, 2024",4.63,5.04,4.56,4.84,4.84,23867500.0
SOUN,"Oct 9, 2024",4.67,4.7,4.57,4.63,4.63,11415700.0
SOUN,"Oct 8, 2024",4.7,4.82,4.67,4.68,4.68,9082800.0
SOUN,"Oct 7, 2024",4.73,4.81,4.65,4.74,4.74,10975300.0
SOUN,"Oct 4, 2024",4.8,4.83,4.65,4.69,4.69,8302800.0
SOUN,"Oct 3, 2024",4.73,4.82,4.66,4.69,4.69,7469500.0
SOUN,"Oct 2, 2024",4.55,4.75,4.45,4.73,4.73,9788300.0
SOUN,"Oct 1, 2024",4.69,4.72,4.45,4.56,4.56,14778200.0
SOUN,"Sep 30, 2024",4.75,4.93,4.65,4.66,4.66,12626500.0
SOUN,"Sep 27, 2024",4.94,4.95,4.74,4.78,4.78,13416400.0
SOUN,"Sep 26, 2024",5.0,5.03,4.85,4.91,4.91,10816800.0
SOUN,"Sep 25, 2024",4.9,5.14,4.88,4.89,4.89,16419700.0
SOUN,"Sep 24, 2024",4.92,4.96,4.8,4.9,4.9,11988700.0
SOUN,"Sep 23, 2024",4.97,5.03,4.87,4.88,4.88,8563900.0
SOUN,"Sep 20, 2024",5.01,5.06,4.85,4.97,4.97,16634100.0
SOUN,"Sep 19, 2024",5.06,5.1,4.96,5.01,5.01,14429100.0
SOUN,"Sep 18, 2024",4.81,5.15,4.81,4.85,4.85,26112100.0
SOUN,"Sep 17, 2024",4.84,4.88,4.73,4.8,4.8,7223300.0
SOUN,"Sep 16, 2024",4.78,4.84,4.72,4.76,4.76,9004900.0
SOUN,"Sep 13, 2024",4.94,4.98,4.84,4.85,4.85,9541200.0
SOUN,"Sep 12, 2024",4.88,4.93,4.77,4.87,4.87,8958200.0
SOUN,"Sep 11, 2024",4.61,4.85,4.57,4.84,4.84,10166000.0
SOUN,"Sep 10, 2024",4.7,4.73,4.47,4.6,4.6,9894100.0
SOUN,"Sep 9, 2024",4.4,4.67,4.4,4.62,4.62,11937700.0
SOUN,"Sep 6, 2024",4.48,4.57,4.32,4.35,4.35,10207000.0
SOUN,"Sep 5, 2024",4.5,4.56,4.41,4.48,4.48,12629300.0
SOUN,"Sep 4, 2024",4.48,4.65,4.45,4.49,4.49,11850500.0
SOUN,"Sep 3, 2024",4.88,4.91,4.52,4.56,4.56,14905200.0
SOUN,"Aug 30, 2024",4.9,4.96,4.83,4.89,4.89,9303200.0
SOUN,"Aug 29, 2024",4.88,5.05,4.84,4.84,4.84,10806600.0
SOUN,"Aug 28, 2024",4.95,5.07,4.77,4.85,4.85,15917800.0
SOUN,"Aug 27, 2024",4.95,5.03,4.86,4.95,4.95,11532800.0
SOUN,"Aug 26, 2024",5.06,5.08,4.92,5.0,5.0,10775400.0
SOUN,"Aug 23, 2024",5.0,5.13,4.95,5.03,5.03,15404200.0
SOUN,"Aug 22, 2024",5.4,5.45,4.89,4.93,4.93,23122200.0
SOUN,"Aug 21, 2024",5.14,5.5,5.06,5.36,5.36,33154000.0
SOUN,"Aug 20, 2024",4.94,5.2,4.74,5.14,5.14,24328600.0
SOUN,"Aug 19, 2024",5.02,5.11,4.91,4.95,4.95,19142000.0
SOUN,"Aug 16, 2024",4.93,5.04,4.9,4.97,4.97,14803000.0
SOUN,"Aug 15, 2024",5.09,5.16,4.92,4.95,4.95,21159800.0
SOUN,"Aug 14, 2024",5.05,5.18,4.88,4.98,4.98,21538300.0
SOUN,"Aug 13, 2024",5.3,5.52,4.92,4.99,4.99,36175300.0
SOUN,"Aug 12, 2024",4.87,5.36,4.71,5.16,5.16,44650500.0
SOUN,"Aug 9, 2024",5.1,5.31,4.83,4.87,4.87,38585900.0
SOUN,"Aug 8, 2024",4.48,5.24,4.38,5.21,5.21,67607200.0
SOUN,"Aug 7, 2024",4.6,4.68,4.25,4.3,4.3,20246400.0
SOUN,"Aug 6, 2024",4.47,4.58,4.11,4.46,4.46,16124800.0
SOUN,"Aug 5, 2024",3.95,4.5,3.94,4.22,4.22,23921700.0
SOUN,"Aug 2, 2024",4.34,4.82,4.31,4.62,4.62,17958800.0
SOUN,"Aug 1, 2024",5.11,5.2,4.62,4.66,4.66,19216200.0
SOUN,"Jul 31, 2024",5.05,5.31,4.99,5.09,5.09,20691900.0
SOUN,"Jul 30, 2024",4.87,5.14,4.81,4.95,4.95,19097000.0
SOUN,"Jul 29, 2024",5.2,5.25,4.76,4.78,4.78,16138300.0
SOUN,"Jul 26, 2024",4.99,5.22,4.82,5.12,5.12,20615400.0
SOUN,"Jul 25, 2024",4.5,4.98,4.37,4.83,4.83,18931000.0
SOUN,"Jul 24, 2024",4.82,4.88,4.54,4.55,4.55,15059200.0
SOUN,"Jul 23, 2024",4.89,5.11,4.86,4.94,4.94,14065600.0
SOUN,"Jul 22, 2024",4.97,5.1,4.74,4.98,4.98,18587900.0
SOUN,"Jul 19, 2024",5.01,5.14,4.85,4.93,4.93,16088600.0
SOUN,"Jul 18, 2024",5.69,5.7,4.9,5.0,5.0,34312300.0
SOUN,"Jul 17, 2024",5.6,6.06,5.36,5.49,5.49,32410300.0
SOUN,"Jul 16, 2024",5.74,5.92,5.4,5.83,5.83,34913500.0
SOUN,"Jul 15, 2024",6.29,6.45,5.51,5.63,5.63,58065300.0
SOUN,"Jul 12, 2024",5.37,6.45,5.34,6.2,6.2,108530100.0
SOUN,"Jul 11, 2024",5.51,6.19,5.22,5.37,5.37,129537900.0
SOUN,"Jul 10, 2024",4.24,5.14,4.14,5.07,5.07,78868400.0
SOUN,"Jul 9, 2024",4.23,4.25,4.02,4.14,4.14,8562100.0
SOUN,"Jul 8, 2024",4.29,4.31,4.12,4.2,4.2,14871900.0
SOUN,"Jul 5, 2024",3.93,4.22,3.87,4.19,4.19,17360300.0
SOUN,"Jul 3, 2024",3.94,3.99,3.86,3.93,3.93,8949300.0
SOUN,"Jul 2, 2024",3.88,4.08,3.88,3.94,3.94,7675700.0
SOUN,"Jul 1, 2024",3.98,4.0,3.82,3.89,3.89,9481400.0
SOUN,"Jun 28, 2024",4.05,4.13,3.9,3.95,3.95,34150900.0
SOUN,"Jun 27, 2024",3.92,4.05,3.92,3.99,3.99,8909800.0
SOUN,"Jun 26, 2024",3.91,4.02,3.89,3.98,3.98,7955600.0
SOUN,"Jun 25, 2024",3.93,4.03,3.86,3.92,3.92,9259600.0
SOUN,"Jun 24, 2024",4.0,4.07,3.88,3.98,3.98,10165400.0
SOUN,"Jun 21, 2024",4.0,4.05,3.87,4.0,4.0,19933500.0
SOUN,"Jun 20, 2024",4.09,4.28,3.98,4.05,4.05,21690400.0
SOUN,"Jun 18, 2024",4.21,4.24,4.05,4.09,4.09,19039600.0
SOUN,"Jun 17, 2024",4.35,4.5,4.28,4.29,4.29,17527000.0
SOUN,"Jun 14, 2024",4.51,4.54,4.4,4.43,4.43,11948400.0
SOUN,"Jun 13, 2024",4.7,4.72,4.51,4.62,4.62,12404400.0
SOUN,"Jun 12, 2024",4.74,4.85,4.62,4.65,4.65,16710400.0
SOUN,"Jun 11, 2024",4.73,4.77,4.58,4.65,4.65,12853200.0
SOUN,"Jun 10, 2024",4.69,4.86,4.64,4.77,4.77,18670700.0
SOUN,"Jun 7, 2024",4.78,4.84,4.62,4.65,4.65,13862900.0
SOUN,"Jun 6, 2024",4.95,4.97,4.81,4.84,4.84,10920200.0
SOUN,"Jun 5, 2024",4.98,5.12,4.89,4.98,4.98,16953100.0
SOUN,"Jun 4, 2024",4.78,4.98,4.76,4.93,4.93,10778700.0
SOUN,"Jun 3, 2024",5.05,5.09,4.73,4.78,4.78,16634400.0
SOUN,"May 31, 2024",4.87,5.06,4.8,5.05,5.05,18667400.0
SOUN,"May 30, 2024",4.7,5.0,4.7,4.88,4.88,17655100.0
