,Open,Open,Open,Close,Close,Close,Volume
,mean,max,min,mean,max,min,sum
Symbol,,,,,,,
INTC,32.78492063492063,50.81,19.0,32.71888888888889,50.76,18.89,15161520100.0
LCID,3.1040079365079367,5.215,2.02,3.091587301587302,5.14,2.01,9879656000.0
MARA,19.803293650793652,32.3,13.8,19.78623015873016,31.07,13.37,14736109000.0
NVDA,102.33198412698412,149.35,45.7,102.29773809523809,148.88,46.6,97787685600.0
PLTR,29.51325396825397,72.95,15.7,29.660039682539683,76.34,15.98,14743108600.0
PLUG,2.8804761904761906,4.98,1.63,2.865873015873016,4.79,1.61,10703108600.0
SMCI,63.45650793650794,121.2,17.8,63.432658730158735,118.81,18.01,20327263700.0
SOFI,8.402460317460317,16.49,6.03,8.41440476190476,16.41,6.32,11935394300.0
SOUN,4.6975,14.18,1.65,4.7161904761904765,15.01,1.63,8894470100.0
TSLA,218.92666666666665,377.42,140.56,219.02853174603175,389.22,142.05,24148772200.0
